=== Energy Consumption Metrics ===

Total Duration: 16510.77 seconds
Average CPU Power: 0.70 Watts
Average RAM Power: 3.17 Watts
Average GPU Power: 54.20 Watts
Total Energy Consumption: 0.9587 Mega Joules

=== Detailed Measurements ===
Round global, start: 24.50W (CPU: 4.05W, RAM: 1.96W, GPU: 18.49W)
Round 6, node_3_smpc_start: 111.76W (CPU: 0.00W, RAM: 2.96W, GPU: 108.81W)
Round 6, node_3_smpc_complete: 23.21W (CPU: 0.09W, RAM: 2.97W, GPU: 20.15W)
Round 6, aggregation_start: 22.39W (CPU: 0.00W, RAM: 2.97W, GPU: 19.42W)
Round 6, aggregation_complete: 27.96W (CPU: 1.50W, RAM: 2.97W, GPU: 23.49W)
Round 7, cluster_generation_start: 25.39W (CPU: 0.03W, RAM: 2.99W, GPU: 22.37W)
Round 7, cluster_generation_complete: 25.36W (CPU: 0.00W, RAM: 2.99W, GPU: 22.37W)
Round 7, node_1_training_start: 25.36W (CPU: 0.00W, RAM: 2.99W, GPU: 22.37W)
Round 7, node_1_training_complete: 105.12W (CPU: 1.86W, RAM: 3.00W, GPU: 100.25W)
Round 7, node_1_smpc_start: 103.26W (CPU: 0.00W, RAM: 3.00W, GPU: 100.25W)
Round 7, node_1_smpc_complete: 23.56W (CPU: 0.09W, RAM: 2.99W, GPU: 20.48W)
Round 7, node_2_training_start: 23.31W (CPU: 0.00W, RAM: 2.99W, GPU: 20.33W)
Round 7, node_2_training_complete: 114.61W (CPU: 1.74W, RAM: 3.03W, GPU: 109.84W)
Round 7, node_2_smpc_start: 112.87W (CPU: 0.00W, RAM: 3.03W, GPU: 109.84W)
Round 7, node_2_smpc_complete: 22.86W (CPU: 0.09W, RAM: 3.00W, GPU: 19.77W)
Round 7, node_3_training_start: 22.83W (CPU: 0.00W, RAM: 3.00W, GPU: 19.83W)
Round 7, node_3_training_complete: 127.41W (CPU: 2.01W, RAM: 3.05W, GPU: 122.35W)
Round 7, node_3_smpc_start: 125.40W (CPU: 0.00W, RAM: 3.05W, GPU: 122.35W)
Round 7, node_3_smpc_complete: 22.63W (CPU: 0.09W, RAM: 3.03W, GPU: 19.51W)
Round 7, aggregation_start: 22.86W (CPU: 0.00W, RAM: 3.03W, GPU: 19.83W)
Round 7, aggregation_complete: 26.36W (CPU: 1.50W, RAM: 3.03W, GPU: 21.83W)
Round 8, cluster_generation_start: 23.25W (CPU: 0.03W, RAM: 3.04W, GPU: 20.18W)
Round 8, cluster_generation_complete: 23.22W (CPU: 0.00W, RAM: 3.04W, GPU: 20.18W)
Round 8, node_1_training_start: 23.22W (CPU: 0.00W, RAM: 3.04W, GPU: 20.18W)
Round 8, node_1_training_complete: 124.45W (CPU: 1.95W, RAM: 3.10W, GPU: 119.40W)
Round 8, node_1_smpc_start: 122.50W (CPU: 0.00W, RAM: 3.10W, GPU: 119.40W)
Round 8, node_1_smpc_complete: 23.42W (CPU: 0.09W, RAM: 3.04W, GPU: 20.29W)
Round 8, node_2_training_start: 23.27W (CPU: 0.00W, RAM: 3.04W, GPU: 20.23W)
Round 8, node_2_training_complete: 115.82W (CPU: 1.86W, RAM: 3.05W, GPU: 110.91W)
Round 8, node_2_smpc_start: 113.96W (CPU: 0.00W, RAM: 3.05W, GPU: 110.91W)
Round 8, node_2_smpc_complete: 23.55W (CPU: 0.09W, RAM: 3.03W, GPU: 20.42W)
Round 8, node_3_training_start: 23.53W (CPU: 0.00W, RAM: 3.03W, GPU: 20.49W)
Round 8, node_3_training_complete: 117.78W (CPU: 1.89W, RAM: 3.09W, GPU: 112.80W)
Round 8, node_3_smpc_start: 115.89W (CPU: 0.00W, RAM: 3.09W, GPU: 112.80W)
Round 8, node_3_smpc_complete: 24.14W (CPU: 0.09W, RAM: 3.07W, GPU: 20.98W)
Round 8, aggregation_start: 23.83W (CPU: 0.03W, RAM: 3.07W, GPU: 20.73W)
Round 8, aggregation_complete: 28.21W (CPU: 1.50W, RAM: 3.07W, GPU: 23.63W)
Round 9, cluster_generation_start: 24.30W (CPU: 0.03W, RAM: 3.06W, GPU: 21.20W)
Round 9, cluster_generation_complete: 24.27W (CPU: 0.00W, RAM: 3.06W, GPU: 21.20W)
Round 9, node_1_training_start: 24.27W (CPU: 0.00W, RAM: 3.06W, GPU: 21.20W)
Round 9, node_1_training_complete: 113.42W (CPU: 1.83W, RAM: 3.09W, GPU: 108.50W)
Round 9, node_1_smpc_start: 111.59W (CPU: 0.00W, RAM: 3.09W, GPU: 108.50W)
Round 9, node_1_smpc_complete: 23.29W (CPU: 0.09W, RAM: 3.02W, GPU: 20.18W)
Round 9, node_2_training_start: 23.64W (CPU: 0.00W, RAM: 3.02W, GPU: 20.62W)
Round 9, node_2_training_complete: 98.49W (CPU: 1.89W, RAM: 3.08W, GPU: 93.52W)
Round 9, node_2_smpc_start: 96.60W (CPU: 0.00W, RAM: 3.08W, GPU: 93.52W)
Round 9, node_2_smpc_complete: 23.53W (CPU: 0.09W, RAM: 3.08W, GPU: 20.36W)
Round 9, node_3_training_start: 23.53W (CPU: 0.00W, RAM: 3.07W, GPU: 20.46W)
Round 9, node_3_training_complete: 116.58W (CPU: 1.83W, RAM: 3.10W, GPU: 111.65W)
Round 9, node_3_smpc_start: 114.75W (CPU: 0.00W, RAM: 3.10W, GPU: 111.65W)
Round 9, node_3_smpc_complete: 23.31W (CPU: 0.09W, RAM: 3.10W, GPU: 20.12W)
Round 9, aggregation_start: 22.81W (CPU: 0.00W, RAM: 3.10W, GPU: 19.71W)
Round 9, aggregation_complete: 27.41W (CPU: 1.50W, RAM: 3.10W, GPU: 22.81W)
Round 10, cluster_generation_start: 24.54W (CPU: 0.03W, RAM: 3.09W, GPU: 21.42W)
Round 10, cluster_generation_complete: 24.51W (CPU: 0.00W, RAM: 3.09W, GPU: 21.42W)
Round 10, node_1_training_start: 24.51W (CPU: 0.00W, RAM: 3.09W, GPU: 21.42W)
Round 10, node_1_training_complete: 115.13W (CPU: 1.95W, RAM: 3.12W, GPU: 110.06W)
Round 10, node_1_smpc_start: 113.18W (CPU: 0.00W, RAM: 3.12W, GPU: 110.06W)
Round 10, node_1_smpc_complete: 23.31W (CPU: 0.09W, RAM: 3.08W, GPU: 20.14W)
Round 10, node_2_training_start: 22.67W (CPU: 0.03W, RAM: 3.08W, GPU: 19.55W)
Round 10, node_2_training_complete: 112.42W (CPU: 1.92W, RAM: 3.10W, GPU: 107.39W)
Round 10, node_2_smpc_start: 110.50W (CPU: 0.00W, RAM: 3.10W, GPU: 107.39W)
