=== Energy Consumption Metrics ===

Total Duration: 33156.15 seconds
Average CPU Power: 1.01 Watts
Average RAM Power: 2.72 Watts
Average GPU Power: 51.85 Watts
Total Energy Consumption: 1.8428 Mega Joules

=== Detailed Measurements ===
Round global, start: 24.34W (CPU: 4.11W, RAM: 0.39W, GPU: 19.84W)
Round 8, node_2_smpc_complete: 23.84W (CPU: 0.09W, RAM: 2.35W, GPU: 21.40W)
Round 8, node_3_training_start: 23.53W (CPU: 0.00W, RAM: 2.35W, GPU: 21.18W)
Round 8, node_3_training_complete: 77.39W (CPU: 1.89W, RAM: 2.34W, GPU: 73.16W)
Round 8, node_3_smpc_start: 75.50W (CPU: 0.00W, RAM: 2.34W, GPU: 73.16W)
Round 8, node_3_smpc_complete: 24.04W (CPU: 0.09W, RAM: 2.36W, GPU: 21.59W)
Round 8, aggregation_start: 23.84W (CPU: 0.00W, RAM: 2.36W, GPU: 21.48W)
Round 8, aggregation_complete: 26.08W (CPU: 1.80W, RAM: 2.36W, GPU: 21.92W)
Round 9, cluster_generation_start: 24.39W (CPU: 0.03W, RAM: 2.37W, GPU: 21.99W)
Round 9, cluster_generation_complete: 24.36W (CPU: 0.00W, RAM: 2.37W, GPU: 21.99W)
Round 9, node_1_training_start: 24.36W (CPU: 0.00W, RAM: 2.37W, GPU: 21.99W)
Round 9, node_1_training_complete: 78.73W (CPU: 2.01W, RAM: 2.39W, GPU: 74.33W)
Round 9, node_1_smpc_start: 76.72W (CPU: 0.00W, RAM: 2.39W, GPU: 74.33W)
Round 9, node_1_smpc_complete: 23.55W (CPU: 0.09W, RAM: 2.38W, GPU: 21.08W)
Round 9, node_2_training_start: 23.61W (CPU: 0.00W, RAM: 2.38W, GPU: 21.23W)
Round 9, node_2_training_complete: 78.53W (CPU: 1.89W, RAM: 2.39W, GPU: 74.25W)
Round 9, node_2_smpc_start: 76.64W (CPU: 0.00W, RAM: 2.39W, GPU: 74.25W)
Round 9, node_2_smpc_complete: 23.99W (CPU: 0.09W, RAM: 2.40W, GPU: 21.50W)
Round 9, node_3_training_start: 23.71W (CPU: 0.00W, RAM: 2.40W, GPU: 21.31W)
Round 9, node_3_training_complete: 74.30W (CPU: 1.92W, RAM: 2.40W, GPU: 69.97W)
Round 9, node_3_smpc_start: 72.38W (CPU: 0.00W, RAM: 2.40W, GPU: 69.97W)
Round 9, node_3_smpc_complete: 23.22W (CPU: 0.09W, RAM: 2.41W, GPU: 20.73W)
Round 9, aggregation_start: 23.38W (CPU: 0.00W, RAM: 2.41W, GPU: 20.98W)
Round 9, aggregation_complete: 25.64W (CPU: 1.68W, RAM: 2.41W, GPU: 21.56W)
Round 10, cluster_generation_start: 23.99W (CPU: 0.03W, RAM: 2.40W, GPU: 21.56W)
Round 10, cluster_generation_complete: 23.96W (CPU: 0.00W, RAM: 2.40W, GPU: 21.56W)
Round 10, node_1_training_start: 23.96W (CPU: 0.00W, RAM: 2.40W, GPU: 21.56W)
Round 10, node_1_training_complete: 76.40W (CPU: 2.01W, RAM: 2.41W, GPU: 71.98W)
Round 10, node_1_smpc_start: 74.39W (CPU: 0.00W, RAM: 2.41W, GPU: 71.98W)
Round 10, node_1_smpc_complete: 23.93W (CPU: 0.09W, RAM: 2.43W, GPU: 21.41W)
Round 10, node_2_training_start: 23.41W (CPU: 0.00W, RAM: 2.42W, GPU: 20.98W)
Round 10, node_2_training_complete: 76.31W (CPU: 1.89W, RAM: 2.43W, GPU: 71.99W)
Round 10, node_2_smpc_start: 74.42W (CPU: 0.00W, RAM: 2.43W, GPU: 71.99W)
Round 10, node_2_smpc_complete: 23.53W (CPU: 0.09W, RAM: 2.43W, GPU: 21.01W)
Round 10, node_3_training_start: 23.56W (CPU: 0.00W, RAM: 2.43W, GPU: 21.13W)
Round 10, node_3_training_complete: 73.18W (CPU: 1.92W, RAM: 2.43W, GPU: 68.84W)
Round 10, node_3_smpc_start: 71.26W (CPU: 0.00W, RAM: 2.43W, GPU: 68.84W)
Round 10, node_3_smpc_complete: 23.39W (CPU: 0.09W, RAM: 2.43W, GPU: 20.87W)
Round 10, aggregation_start: 23.45W (CPU: 0.00W, RAM: 2.43W, GPU: 21.02W)
Round 10, aggregation_complete: 25.38W (CPU: 1.71W, RAM: 2.43W, GPU: 21.24W)
Round 11, cluster_generation_start: 23.61W (CPU: 0.03W, RAM: 2.44W, GPU: 21.15W)
Round 11, cluster_generation_complete: 23.58W (CPU: 0.00W, RAM: 2.44W, GPU: 21.15W)
Round 11, node_1_training_start: 23.58W (CPU: 0.00W, RAM: 2.44W, GPU: 21.15W)
Round 11, node_1_training_complete: 77.35W (CPU: 1.98W, RAM: 2.47W, GPU: 72.90W)
Round 11, node_1_smpc_start: 75.37W (CPU: 0.00W, RAM: 2.47W, GPU: 72.90W)
Round 11, node_1_smpc_complete: 24.00W (CPU: 0.09W, RAM: 2.45W, GPU: 21.46W)
Round 11, node_2_training_start: 23.57W (CPU: 0.00W, RAM: 2.45W, GPU: 21.12W)
Round 11, node_2_training_complete: 78.42W (CPU: 1.89W, RAM: 2.45W, GPU: 74.08W)
Round 11, node_2_smpc_start: 76.53W (CPU: 0.00W, RAM: 2.45W, GPU: 74.08W)
Round 11, node_2_smpc_complete: 24.07W (CPU: 0.09W, RAM: 2.43W, GPU: 21.55W)
Round 11, node_3_training_start: 23.88W (CPU: 0.00W, RAM: 2.42W, GPU: 21.45W)
Round 11, node_3_training_complete: 75.04W (CPU: 1.92W, RAM: 2.46W, GPU: 70.66W)
Round 11, node_3_smpc_start: 83.11W (CPU: 9.99W, RAM: 2.46W, GPU: 70.66W)
Round 11, node_3_smpc_complete: 23.91W (CPU: 0.09W, RAM: 2.45W, GPU: 21.37W)
Round 11, aggregation_start: 23.58W (CPU: 0.00W, RAM: 2.45W, GPU: 21.13W)
Round 11, aggregation_complete: 27.70W (CPU: 1.74W, RAM: 2.45W, GPU: 23.51W)
Round 12, cluster_generation_start: 26.11W (CPU: 0.03W, RAM: 2.46W, GPU: 23.62W)
Round 12, cluster_generation_complete: 32.08W (CPU: 6.00W, RAM: 2.46W, GPU: 23.62W)
Round 12, node_1_training_start: 26.08W (CPU: 0.00W, RAM: 2.46W, GPU: 23.62W)
Round 12, node_1_training_complete: 79.74W (CPU: 2.01W, RAM: 2.49W, GPU: 75.24W)
Round 12, node_1_smpc_start: 77.73W (CPU: 0.00W, RAM: 2.49W, GPU: 75.24W)
Round 12, node_1_smpc_complete: 23.27W (CPU: 0.09W, RAM: 2.48W, GPU: 20.70W)
Round 12, node_2_training_start: 23.38W (CPU: 0.00W, RAM: 2.48W, GPU: 20.90W)
Round 12, node_2_training_complete: 73.70W (CPU: 1.92W, RAM: 2.48W, GPU: 69.30W)
Round 12, node_2_smpc_start: 71.78W (CPU: 0.00W, RAM: 2.48W, GPU: 69.30W)
Round 12, node_2_smpc_complete: 23.48W (CPU: 0.09W, RAM: 2.47W, GPU: 20.93W)
Round 12, node_3_training_start: 23.43W (CPU: 0.00W, RAM: 2.47W, GPU: 20.96W)
Round 12, node_3_training_complete: 80.99W (CPU: 1.89W, RAM: 2.48W, GPU: 76.62W)
Round 12, node_3_smpc_start: 79.09W (CPU: 0.00W, RAM: 2.47W, GPU: 76.62W)
Round 12, node_3_smpc_complete: 23.08W (CPU: 0.09W, RAM: 2.47W, GPU: 20.52W)
Round 12, aggregation_start: 22.90W (CPU: 0.00W, RAM: 2.47W, GPU: 20.43W)
Round 12, aggregation_complete: 25.58W (CPU: 1.95W, RAM: 2.47W, GPU: 21.16W)
Round 13, cluster_generation_start: 27.36W (CPU: 0.03W, RAM: 2.47W, GPU: 24.87W)
Round 13, cluster_generation_complete: 33.33W (CPU: 6.00W, RAM: 2.47W, GPU: 24.87W)
Round 13, node_1_training_start: 27.33W (CPU: 0.00W, RAM: 2.47W, GPU: 24.87W)
Round 13, node_1_training_complete: 77.09W (CPU: 1.98W, RAM: 2.49W, GPU: 72.62W)
Round 13, node_1_smpc_start: 75.11W (CPU: 0.00W, RAM: 2.49W, GPU: 72.62W)
Round 13, node_1_smpc_complete: 23.77W (CPU: 0.09W, RAM: 2.48W, GPU: 21.20W)
Round 13, node_2_training_start: 23.55W (CPU: 0.00W, RAM: 2.48W, GPU: 21.07W)
Round 13, node_2_training_complete: 78.04W (CPU: 1.89W, RAM: 2.50W, GPU: 73.65W)
Round 13, node_2_smpc_start: 76.15W (CPU: 0.00W, RAM: 2.50W, GPU: 73.65W)
Round 13, node_2_smpc_complete: 23.62W (CPU: 0.09W, RAM: 2.50W, GPU: 21.03W)
Round 13, node_3_training_start: 23.50W (CPU: 0.00W, RAM: 2.50W, GPU: 21.00W)
Round 13, node_3_training_complete: 78.68W (CPU: 1.89W, RAM: 2.48W, GPU: 74.31W)
Round 13, node_3_smpc_start: 76.79W (CPU: 0.00W, RAM: 2.48W, GPU: 74.31W)
Round 13, node_3_smpc_complete: 23.62W (CPU: 0.09W, RAM: 2.48W, GPU: 21.05W)
Round 13, aggregation_start: 23.70W (CPU: 0.00W, RAM: 2.48W, GPU: 21.22W)
Round 13, aggregation_complete: 27.12W (CPU: 1.89W, RAM: 2.48W, GPU: 22.76W)
Round 14, cluster_generation_start: 32.35W (CPU: 0.03W, RAM: 2.48W, GPU: 29.84W)
Round 14, cluster_generation_complete: 32.32W (CPU: 0.00W, RAM: 2.48W, GPU: 29.84W)
Round 14, node_1_training_start: 32.32W (CPU: 0.00W, RAM: 2.48W, GPU: 29.84W)
Round 14, node_1_training_complete: 78.86W (CPU: 2.01W, RAM: 2.54W, GPU: 74.31W)
Round 14, node_1_smpc_start: 76.85W (CPU: 0.00W, RAM: 2.54W, GPU: 74.31W)
Round 14, node_1_smpc_complete: 23.47W (CPU: 0.09W, RAM: 2.53W, GPU: 20.86W)
Round 14, node_2_training_start: 23.54W (CPU: 0.00W, RAM: 2.53W, GPU: 21.01W)
Round 14, node_2_training_complete: 83.82W (CPU: 1.89W, RAM: 2.52W, GPU: 79.41W)
Round 14, node_2_smpc_start: 81.93W (CPU: 0.00W, RAM: 2.52W, GPU: 79.41W)
