=== Energy Consumption Metrics ===

Total Duration: 33206.54 seconds
Average CPU Power: 0.70 Watts
Average RAM Power: 4.16 Watts
Average GPU Power: 40.51 Watts
Total Energy Consumption: 1.5066 Mega Joules

=== Detailed Measurements ===
Round global, start: 23.35W (CPU: 4.11W, RAM: 1.97W, GPU: 17.27W)
Round 12, node_3_smpc_complete: 23.80W (CPU: 0.09W, RAM: 4.11W, GPU: 19.60W)
Round 12, aggregation_start: 23.78W (CPU: 0.00W, RAM: 4.11W, GPU: 19.68W)
Round 12, aggregation_complete: 25.79W (CPU: 1.50W, RAM: 4.11W, GPU: 20.19W)
Round 13, cluster_generation_start: 23.85W (CPU: 0.03W, RAM: 4.12W, GPU: 19.70W)
Round 13, cluster_generation_complete: 23.82W (CPU: 0.00W, RAM: 4.12W, GPU: 19.70W)
Round 13, node_1_training_start: 23.82W (CPU: 0.00W, RAM: 4.12W, GPU: 19.70W)
Round 13, node_1_training_complete: 76.74W (CPU: 2.04W, RAM: 4.14W, GPU: 70.56W)
Round 13, node_1_smpc_start: 74.70W (CPU: 0.00W, RAM: 4.14W, GPU: 70.56W)
Round 13, node_1_smpc_complete: 23.68W (CPU: 0.09W, RAM: 4.14W, GPU: 19.46W)
Round 13, node_2_training_start: 23.64W (CPU: 0.00W, RAM: 4.14W, GPU: 19.50W)
Round 13, node_2_training_complete: 70.72W (CPU: 1.89W, RAM: 4.14W, GPU: 64.69W)
Round 13, node_2_smpc_start: 68.83W (CPU: 0.00W, RAM: 4.14W, GPU: 64.69W)
Round 13, node_2_smpc_complete: 24.01W (CPU: 0.09W, RAM: 4.15W, GPU: 19.77W)
Round 13, node_3_training_start: 23.89W (CPU: 0.00W, RAM: 4.15W, GPU: 19.75W)
Round 13, node_3_training_complete: 76.68W (CPU: 1.89W, RAM: 4.14W, GPU: 70.65W)
Round 13, node_3_smpc_start: 74.78W (CPU: 0.00W, RAM: 4.14W, GPU: 70.65W)
Round 13, node_3_smpc_complete: 23.86W (CPU: 0.09W, RAM: 4.12W, GPU: 19.66W)
Round 13, aggregation_start: 23.97W (CPU: 0.00W, RAM: 4.12W, GPU: 19.85W)
Round 13, aggregation_complete: 26.33W (CPU: 1.53W, RAM: 4.12W, GPU: 20.68W)
Round 14, cluster_generation_start: 25.04W (CPU: 0.03W, RAM: 4.12W, GPU: 20.89W)
Round 14, cluster_generation_complete: 25.01W (CPU: 0.00W, RAM: 4.12W, GPU: 20.89W)
Round 14, node_1_training_start: 25.01W (CPU: 0.00W, RAM: 4.12W, GPU: 20.89W)
Round 14, node_1_training_complete: 79.08W (CPU: 1.98W, RAM: 4.14W, GPU: 72.96W)
Round 14, node_1_smpc_start: 77.10W (CPU: 0.00W, RAM: 4.14W, GPU: 72.96W)
Round 14, node_1_smpc_complete: 23.53W (CPU: 0.09W, RAM: 4.15W, GPU: 19.29W)
Round 14, node_2_training_start: 23.31W (CPU: 0.00W, RAM: 4.15W, GPU: 19.16W)
Round 14, node_2_training_complete: 81.51W (CPU: 1.89W, RAM: 4.16W, GPU: 75.46W)
Round 14, node_2_smpc_start: 94.62W (CPU: 15.00W, RAM: 4.16W, GPU: 75.46W)
Round 14, node_2_smpc_complete: 23.75W (CPU: 0.09W, RAM: 4.14W, GPU: 19.51W)
Round 14, node_3_training_start: 23.85W (CPU: 0.00W, RAM: 4.14W, GPU: 19.70W)
Round 14, node_3_training_complete: 75.46W (CPU: 1.92W, RAM: 4.16W, GPU: 69.38W)
Round 14, node_3_smpc_start: 73.54W (CPU: 0.00W, RAM: 4.16W, GPU: 69.38W)
Round 14, node_3_smpc_complete: 24.63W (CPU: 0.09W, RAM: 4.16W, GPU: 20.38W)
Round 14, aggregation_start: 24.12W (CPU: 0.00W, RAM: 4.16W, GPU: 19.97W)
Round 14, aggregation_complete: 27.75W (CPU: 1.53W, RAM: 4.16W, GPU: 22.06W)
Round 15, cluster_generation_start: 26.77W (CPU: 0.03W, RAM: 4.16W, GPU: 22.58W)
Round 15, cluster_generation_complete: 26.74W (CPU: 0.00W, RAM: 4.16W, GPU: 22.58W)
