=== Energy Consumption Metrics ===

Total Duration: 16536.28 seconds
Average CPU Power: 0.63 Watts
Average RAM Power: 1.68 Watts
Average GPU Power: 54.82 Watts
Total Energy Consumption: 0.9446 Mega Joules

=== Detailed Measurements ===
Round global, start: 22.42W (CPU: 4.05W, RAM: 0.42W, GPU: 17.94W)
Round 9, node_3_training_start: 21.57W (CPU: 0.00W, RAM: 1.51W, GPU: 20.06W)
Round 9, node_3_training_complete: 122.27W (CPU: 1.83W, RAM: 1.56W, GPU: 118.87W)
Round 9, node_3_smpc_start: 120.44W (CPU: 0.00W, RAM: 1.56W, GPU: 118.87W)
Round 9, node_3_smpc_complete: 21.97W (CPU: 0.09W, RAM: 1.52W, GPU: 20.37W)
Round 9, aggregation_start: 21.99W (CPU: 0.00W, RAM: 1.52W, GPU: 20.47W)
Round 9, aggregation_complete: 25.91W (CPU: 1.50W, RAM: 1.51W, GPU: 22.89W)
Round 10, cluster_generation_start: 22.30W (CPU: 0.03W, RAM: 1.50W, GPU: 20.78W)
Round 10, cluster_generation_complete: 32.26W (CPU: 9.99W, RAM: 1.50W, GPU: 20.78W)
Round 10, node_1_training_start: 22.27W (CPU: 0.00W, RAM: 1.50W, GPU: 20.78W)
Round 10, node_1_training_complete: 128.86W (CPU: 1.92W, RAM: 1.56W, GPU: 125.38W)
Round 10, node_1_smpc_start: 126.94W (CPU: 0.00W, RAM: 1.56W, GPU: 125.38W)
Round 10, node_1_smpc_complete: 21.61W (CPU: 0.09W, RAM: 1.54W, GPU: 19.99W)
Round 10, node_2_training_start: 21.22W (CPU: 0.00W, RAM: 1.54W, GPU: 19.69W)
Round 10, node_2_training_complete: 111.35W (CPU: 1.95W, RAM: 1.54W, GPU: 107.86W)
Round 10, node_2_smpc_start: 109.40W (CPU: 0.00W, RAM: 1.54W, GPU: 107.86W)
Round 10, node_2_smpc_complete: 21.26W (CPU: 0.09W, RAM: 1.52W, GPU: 19.64W)
Round 10, node_3_training_start: 21.28W (CPU: 0.00W, RAM: 1.52W, GPU: 19.76W)
Round 10, node_3_training_complete: 112.33W (CPU: 1.80W, RAM: 1.53W, GPU: 109.00W)
Round 10, node_3_smpc_start: 110.53W (CPU: 0.00W, RAM: 1.53W, GPU: 109.00W)
Round 10, node_3_smpc_complete: 21.95W (CPU: 0.09W, RAM: 1.51W, GPU: 20.35W)
Round 10, aggregation_start: 21.77W (CPU: 0.00W, RAM: 1.51W, GPU: 20.26W)
Round 10, aggregation_complete: 27.37W (CPU: 1.50W, RAM: 1.51W, GPU: 24.36W)
Round 11, cluster_generation_start: 23.45W (CPU: 0.03W, RAM: 1.52W, GPU: 21.91W)
Round 11, cluster_generation_complete: 30.92W (CPU: 7.50W, RAM: 1.52W, GPU: 21.91W)
Round 11, node_1_training_start: 23.42W (CPU: 0.00W, RAM: 1.52W, GPU: 21.91W)
Round 11, node_1_training_complete: 113.51W (CPU: 1.83W, RAM: 1.57W, GPU: 110.11W)
Round 11, node_1_smpc_start: 111.68W (CPU: 0.00W, RAM: 1.57W, GPU: 110.11W)
Round 11, node_1_smpc_complete: 21.23W (CPU: 0.09W, RAM: 1.56W, GPU: 19.58W)
Round 11, node_2_training_start: 21.57W (CPU: 0.00W, RAM: 1.56W, GPU: 20.01W)
Round 11, node_2_training_complete: 127.91W (CPU: 1.80W, RAM: 1.59W, GPU: 124.52W)
Round 11, node_2_smpc_start: 126.11W (CPU: 0.00W, RAM: 1.59W, GPU: 124.52W)
Round 11, node_2_smpc_complete: 22.05W (CPU: 0.09W, RAM: 1.57W, GPU: 20.39W)
Round 11, node_3_training_start: 22.53W (CPU: 0.00W, RAM: 1.57W, GPU: 20.96W)
Round 11, node_3_training_complete: 124.06W (CPU: 1.89W, RAM: 1.62W, GPU: 120.54W)
Round 11, node_3_smpc_start: 122.17W (CPU: 0.00W, RAM: 1.62W, GPU: 120.54W)
Round 11, node_3_smpc_complete: 22.37W (CPU: 0.09W, RAM: 1.58W, GPU: 20.71W)
Round 11, aggregation_start: 21.60W (CPU: 0.00W, RAM: 1.58W, GPU: 20.02W)
Round 11, aggregation_complete: 24.40W (CPU: 1.50W, RAM: 1.58W, GPU: 21.32W)
Round 12, cluster_generation_start: 21.60W (CPU: 0.03W, RAM: 1.58W, GPU: 19.99W)
Round 12, cluster_generation_complete: 29.07W (CPU: 7.50W, RAM: 1.58W, GPU: 19.99W)
Round 12, node_1_training_start: 21.57W (CPU: 0.00W, RAM: 1.58W, GPU: 19.99W)
Round 12, node_1_training_complete: 115.31W (CPU: 1.89W, RAM: 1.59W, GPU: 111.83W)
Round 12, node_1_smpc_start: 113.42W (CPU: 0.00W, RAM: 1.59W, GPU: 111.83W)
Round 12, node_1_smpc_complete: 22.27W (CPU: 0.09W, RAM: 1.58W, GPU: 20.60W)
Round 12, node_2_training_start: 21.74W (CPU: 0.00W, RAM: 1.58W, GPU: 20.16W)
Round 12, node_2_training_complete: 117.87W (CPU: 1.95W, RAM: 1.64W, GPU: 114.29W)
Round 12, node_2_smpc_start: 115.92W (CPU: 0.00W, RAM: 1.64W, GPU: 114.29W)
Round 12, node_2_smpc_complete: 21.89W (CPU: 0.09W, RAM: 1.63W, GPU: 20.18W)
Round 12, node_3_training_start: 21.98W (CPU: 0.00W, RAM: 1.63W, GPU: 20.35W)
Round 12, node_3_training_complete: 110.60W (CPU: 1.74W, RAM: 1.64W, GPU: 107.22W)
Round 12, node_3_smpc_start: 123.86W (CPU: 15.00W, RAM: 1.64W, GPU: 107.22W)
Round 12, node_3_smpc_complete: 22.27W (CPU: 0.09W, RAM: 1.61W, GPU: 20.57W)
Round 12, aggregation_start: 21.75W (CPU: 0.00W, RAM: 1.61W, GPU: 20.14W)
Round 12, aggregation_complete: 26.13W (CPU: 1.47W, RAM: 1.60W, GPU: 23.06W)
Round 13, cluster_generation_start: 22.09W (CPU: 0.03W, RAM: 1.60W, GPU: 20.47W)
Round 13, cluster_generation_complete: 22.06W (CPU: 0.00W, RAM: 1.60W, GPU: 20.47W)
Round 13, node_1_training_start: 22.06W (CPU: 0.00W, RAM: 1.60W, GPU: 20.47W)
Round 13, node_1_training_complete: 114.51W (CPU: 1.95W, RAM: 1.61W, GPU: 110.95W)
Round 13, node_1_smpc_start: 112.56W (CPU: 0.00W, RAM: 1.61W, GPU: 110.95W)
Round 13, node_1_smpc_complete: 21.96W (CPU: 0.09W, RAM: 1.59W, GPU: 20.28W)
Round 13, node_2_training_start: 21.41W (CPU: 0.00W, RAM: 1.59W, GPU: 19.82W)
Round 13, node_2_training_complete: 119.35W (CPU: 1.95W, RAM: 1.63W, GPU: 115.77W)
Round 13, node_2_smpc_start: 117.40W (CPU: 0.00W, RAM: 1.63W, GPU: 115.77W)
Round 13, node_2_smpc_complete: 21.17W (CPU: 0.09W, RAM: 1.61W, GPU: 19.46W)
Round 13, node_3_training_start: 21.47W (CPU: 0.00W, RAM: 1.61W, GPU: 19.86W)
Round 13, node_3_training_complete: 125.84W (CPU: 1.80W, RAM: 1.64W, GPU: 122.41W)
Round 13, node_3_smpc_start: 124.04W (CPU: 0.00W, RAM: 1.64W, GPU: 122.41W)
Round 13, node_3_smpc_complete: 21.96W (CPU: 0.09W, RAM: 1.60W, GPU: 20.27W)
Round 13, aggregation_start: 21.87W (CPU: 0.00W, RAM: 1.60W, GPU: 20.27W)
Round 13, aggregation_complete: 26.19W (CPU: 1.50W, RAM: 1.60W, GPU: 23.08W)
Round 14, cluster_generation_start: 23.56W (CPU: 0.03W, RAM: 1.61W, GPU: 21.92W)
Round 14, cluster_generation_complete: 23.53W (CPU: 0.00W, RAM: 1.61W, GPU: 21.92W)
Round 14, node_1_training_start: 23.53W (CPU: 0.00W, RAM: 1.61W, GPU: 21.92W)
Round 14, node_1_training_complete: 125.86W (CPU: 1.92W, RAM: 1.65W, GPU: 122.29W)
Round 14, node_1_smpc_start: 123.94W (CPU: 0.00W, RAM: 1.65W, GPU: 122.29W)
Round 14, node_1_smpc_complete: 21.93W (CPU: 0.09W, RAM: 1.64W, GPU: 20.20W)
Round 14, node_2_training_start: 21.87W (CPU: 0.00W, RAM: 1.64W, GPU: 20.23W)
Round 14, node_2_training_complete: 113.67W (CPU: 1.80W, RAM: 1.67W, GPU: 110.20W)
Round 14, node_2_smpc_start: 111.87W (CPU: 0.00W, RAM: 1.67W, GPU: 110.20W)
Round 14, node_2_smpc_complete: 22.27W (CPU: 0.09W, RAM: 1.65W, GPU: 20.54W)
Round 14, node_3_training_start: 21.88W (CPU: 0.00W, RAM: 1.65W, GPU: 20.23W)
Round 14, node_3_training_complete: 120.02W (CPU: 1.83W, RAM: 1.68W, GPU: 116.51W)
Round 14, node_3_smpc_start: 118.19W (CPU: 0.00W, RAM: 1.68W, GPU: 116.51W)
Round 14, node_3_smpc_complete: 21.72W (CPU: 0.09W, RAM: 1.66W, GPU: 19.97W)
Round 14, aggregation_start: 21.80W (CPU: 0.00W, RAM: 1.66W, GPU: 20.14W)
